name,age,salary,join_date,city
Sara Zaki,120,N/A,abc,
Sara Zaki,??,26309,abc,Alexandria
Mahmoud Samir,67,N/A,abc,  cairo 
Youssef Khaled,130,,abc,Luxor
Mona Saad,127,,2007-07-16,Aswan
Mona Hassan,??,N/A,abc,Luxor
Nour Hassan,??,8814,abc,gIzA
Youssef Ibrahim,12,N/A,,Cairo
Mona Mostafa,-4,,,Alexandria
Youssef Farid,??,18060,,Luxor
Hossam Ibrahim,,34425,,Luxor
Sara Samir,,,,
Omar Zaki,??,39277,,Alexandria
Omar Samir,??,,2001-05-14,Cairo
Mona Samir,53,N/A,,Alexandria
Laila Hassan,??,N/A,abc,gIzA
Ali Younis,74,,2001-06-12,
Laila Khaled,??,N/A,2008-03-15,Cairo
Youssef Farid,65,N/A,,Giza
Sara Samir,,,abc,  cairo 
Nour Ahmed,??,N/A,2007-08-28,
Laila Khaled,,,2007-08-05,Mansoura
Youssef Younis,75,,2006-05-27,Luxor
Ali Saad,,N/A,abc,Giza
Youssef Zaki,23,4853,,Tanta
Sara Samir,31,,2023-07-06,Tanta
Aya Hassan,??,N/A,2017-02-27,Cairo
Nour Younis,115,N/A,abc,Alexandria
Aya Younis,66,N/A,abc,  cairo 
Mahmoud Younis,,54477,,Alexandria
Mahmoud Samir,,,abc,Aswan
Omar Khaled,76,,abc,Aswan
Hossam Mostafa,,27198,,Luxor
Youssef Ibrahim,??,N/A,abc,Luxor
Mona Mostafa,,2170,2015-12-07,gIzA
Mona Mostafa,26,31230,2000-11-12,gIzA
Omar Zaki,32,N/A,,
Omar Samir,??,21585,2009-12-21,Aswan
Omar Mostafa,107,N/A,2020-12-04,gIzA
Mahmoud Mostafa,,N/A,abc,
Nour Saad,61,55769,abc,gIzA
Aya Ahmed,,54783,2000-09-19,Mansoura
Nour Mostafa,,48705,2000-02-14,Tanta
Omar Zaki,89,N/A,abc,Alexandria
Laila Ahmed,64,,2008-03-24,Alexandria
Youssef Farid,,N/A,,Tanta
Nour Khaled,,,2017-05-26,Mansoura
Nour Khaled,5,,,  cairo 
Ali Ibrahim,52,19237,,Alexandria
Mahmoud Khaled,54,46780,abc,  cairo 
Youssef Zaki,31,5372,2011-04-13,Alexandria
Hossam Zaki,??,10180,,gIzA
Mona Hassan,,N/A,2002-05-29,Mansoura
Mahmoud Khaled,36,,2003-11-03,Alexandria
Sara Farid,,10824,2011-01-13,Alexandria
Youssef Samir,,N/A,abc,Giza
Omar Mostafa,??,11466,abc,Tanta
Ali Farid,,N/A,abc,gIzA
Nour Zaki,16,41639,abc,Luxor
Ali Ahmed,??,N/A,abc,Giza
Nour Ibrahim,,,abc,Mansoura
Mona Khaled,??,N/A,2019-01-03,Luxor
Aya Khaled,??,,,Mansoura
Hossam Ibrahim,73,N/A,2014-04-23,Cairo
Omar Khaled,63,,abc,gIzA
Laila Ahmed,,14831,,Cairo
Omar Ibrahim,,,abc,Cairo
Aya Hassan,??,,,Alexandria
Nour Ibrahim,,N/A,abc,Aswan
Laila Younis,76,,2007-04-26,Aswan
Aya Zaki,,N/A,,Aswan
Mahmoud Khaled,83,,abc,Mansoura
Aya Samir,,9403,abc,  cairo 
Aya Ibrahim,??,,,  cairo 
Aya Samir,??,N/A,abc,Alexandria
Youssef Khaled,,40550,2015-04-25,gIzA
Mona Ahmed,,,abc,gIzA
Hossam Zaki,63,N/A,,Alexandria
Sara Ahmed,,,,Alexandria
Nour Samir,-4,,abc,Cairo
Aya Zaki,??,,2011-01-11,Luxor
Aya Ibrahim,-5,,2002-02-23,Giza
Youssef Ahmed,??,,2015-08-05,
Sara Farid,81,N/A,,Alexandria
Mona Samir,??,N/A,2016-10-01,Luxor
Aya Younis,,3602,,Luxor
Ali Zaki,??,,abc,Tanta
Aya Samir,??,50948,abc,Aswan
Mona Mostafa,62,N/A,2009-02-24,Giza
Sara Khaled,104,,,Mansoura
Mahmoud Zaki,61,34473,2018-04-02,Aswan
Mahmoud Hassan,??,,,
Hossam Mostafa,??,7597,2022-09-18,gIzA
Nour Younis,??,,,
Nour Mostafa,??,,2013-05-27,
Omar Saad,,,abc,Giza
Hossam Saad,,N/A,,Aswan
Omar Zaki,91,44219,2006-04-02,Alexandria
Hossam Hassan,??,,2004-07-15,Giza
Omar Mostafa,,3131,abc,
Sara Farid,47,13897,,
Mona Zaki,??,N/A,abc,Mansoura
Laila Younis,128,45064,,Giza
Mahmoud Hassan,,36128,,  cairo 
Mona Samir,101,N/A,2018-08-15,Aswan
Laila Farid,36,6210,,Tanta
Youssef Samir,??,N/A,2024-11-13,Luxor
Nour Younis,??,,2018-10-03,Giza
Hossam Younis,,N/A,abc,Aswan
Laila Khaled,??,,,Luxor
Sara Younis,??,,abc,  cairo 
Mahmoud Hassan,??,54245,,Luxor
Mona Ibrahim,??,,2003-10-25,  cairo 
Laila Farid,111,N/A,2019-12-15,gIzA
Youssef Zaki,36,50380,2005-07-04,
Hossam Hassan,40,,,
Omar Ahmed,9,,abc,Luxor
Laila Younis,??,N/A,,Aswan
Ali Khaled,-4,,abc,Cairo
Sara Ahmed,98,51021,abc,Cairo
Mahmoud Samir,,N/A,abc,Giza
Omar Farid,115,N/A,,
Laila Farid,??,N/A,2019-12-04,Cairo
Mona Ibrahim,75,53039,2002-03-10,Cairo
Youssef Farid,,52801,,  cairo 
Youssef Younis,33,7940,abc,Luxor
Laila Ahmed,0,31234,2018-10-27,Luxor
Ali Hassan,,N/A,,Aswan
Omar Ibrahim,,53999,abc,gIzA
Youssef Zaki,118,N/A,abc,Alexandria
Laila Samir,65,52784,,Alexandria
Omar Ibrahim,,N/A,2012-03-10,Luxor
Ali Mostafa,40,14003,,Cairo
Nour Khaled,,25101,,
Sara Saad,17,14142,abc,Tanta
Nour Hassan,25,20505,,Aswan
Hossam Saad,,,2004-01-06,Giza
Nour Hassan,,,,  cairo 
Omar Saad,,,,Cairo
Sara Younis,??,,abc,  cairo 
Omar Ibrahim,??,,abc,Mansoura
Aya Samir,75,59321,abc,Aswan
Mahmoud Ibrahim,??,2128,abc,gIzA
Mahmoud Farid,,,abc,Luxor
Omar Ibrahim,??,,,Alexandria
Ali Samir,,,abc,Cairo
Nour Saad,,54794,abc,gIzA
Ali Mostafa,,48085,,  cairo 
Hossam Ahmed,??,,,Alexandria
Mona Younis,,52878,2018-04-09,Tanta
Mahmoud Younis,89,40859,,Giza
Laila Ibrahim,,N/A,2013-04-02,gIzA
Laila Saad,,N/A,2003-10-13,Alexandria
Mona Samir,??,,,Tanta
Hossam Saad,??,,abc,Tanta
Sara Ibrahim,,42738,,Luxor
Sara Samir,,N/A,abc,  cairo 
Ali Hassan,36,,2023-09-18,
Youssef Saad,-1,,abc,Tanta
Ali Samir,??,N/A,abc,
Ali Khaled,68,N/A,,
Ali Samir,??,43270,2004-12-15,Alexandria
Nour Samir,106,,,Tanta
Mona Saad,??,N/A,,Alexandria
Laila Khaled,,,,
Aya Khaled,26,41198,,
Mahmoud Younis,??,,2024-06-25,gIzA
Aya Younis,,,2001-03-07,Aswan
Omar Saad,,30729,2022-07-24,Aswan
Nour Younis,,N/A,,Luxor
Mahmoud Ibrahim,45,N/A,2015-09-24,Luxor
Omar Zaki,??,42281,abc,Tanta
Sara Samir,,N/A,,Luxor
Laila Younis,??,N/A,,  cairo 
Aya Khaled,,34568,2017-03-01,
Omar Ahmed,,4154,abc,Cairo
Laila Farid,,23535,2024-04-14,Luxor
Ali Ahmed,,,2024-11-02,Giza
Laila Zaki,93,,,  cairo 
Ali Zaki,,,,Giza
Mona Samir,61,4508,abc,Giza
Mahmoud Khaled,,,2016-11-24,Tanta
Sara Samir,??,N/A,,Mansoura
Laila Ibrahim,??,44485,,Tanta
Laila Younis,98,,,Mansoura
Hossam Khaled,??,59003,2017-10-02,Tanta
Laila Mostafa,,45862,abc,gIzA
Youssef Mostafa,??,,abc,Cairo
Mona Mostafa,??,,,Giza
Aya Younis,38,N/A,2016-09-11,
Mona Samir,,36909,2023-04-15,
Laila Farid,??,,2001-08-12,Tanta
Nour Saad,72,21559,,
Omar Mostafa,??,,2000-06-11,Mansoura
Omar Ahmed,,N/A,,Cairo
Mahmoud Mostafa,56,,,
Omar Younis,,6219,2015-10-06,Tanta
Mona Samir,,N/A,,gIzA
Laila Saad,??,9936,2009-09-25,Aswan
Hossam Mostafa,,,2023-05-17,Giza
